_id	objectid	fid_blockg	statefp10	countyfp10	tractce10	blkgrpce10	geoid10	namelsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	shape_leng	fid_neighb	pghdb_sde_neighborhood_2010_area	perimeter	neighbor	neighbor_i	hood	hood_no	acres	sqmiles	dpwdiv	unique_id	sectors	shape_le_1	shape_ar_1	page_number	plannerassign	globalid	created_user	created_date	last_edited_user	last_edited_date	temp	shape_area	shape_length
11353	1	233	42	003	140500	3	4.20031E+11	Block Group 3	G5030	S	172851	0	40.4523867	-079.9073195	6787.52765	71	7968760	136797.9793	48	2130	Point Breeze North	64	193.2292392	0.30192069	2	113	11	13891.87335	7968760.149	15	Adriana Bowman	a642a6b6-a2a9-48d5-acf2-3e2ce87d4bc0	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:02:13		8417066.645	14181.72858
11354	2	203	42	003	140100	3	4.20031E+11	Block Group 3	G5030	S	291302	0	40.4427301	-079.9435821	8071.734942	66	34078712	136797.9793	55	2137	Squirrel Hill North	76	782.9815471	1.22340867	3	57	10	30343.65108	34078713.19	15	Christian Umbach	20d4605b-258e-441a-a57e-a28fdabb6d30	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:02:41		34108372.95	30326.81942
11355	3	86	42	003	101700	2	4.20031E+11	Block Group 2	G5030	S	217979	0	40.4672423	-079.9433700	6586.683658	39	12751163	136797.9793	18	2100	Garfield	35	292.7261254	0.45738457	2	113	12	14574.32669	12751163.31	15	Vacant, contact Ose Akinlotan (Planning Manager)	bf4065e7-c29c-48bd-b529-e7fd99077238	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:59:55		12751150.03	14577.42633
11356	4	214	42	003	050900	1	4.20031E+11	Block Group 1	G5030	S	462660	4114	40.4512373	-079.9745804	14216.9644	68	4997335.5	136797.9793	47	2129	Bedford Dwellings	7	112.4315515	0.1756743	3	81	15	14192.73823	4997335.35	15	Ose Akinlotan	fed3fb32-0cd3-4556-aa41-17ee03b4fe41	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:58:41		4897518.681	13941.51436
11357	5	173	42	003	300100	5	4.20033E+11	Block Group 5	G5030	S	121963	0	40.4109357	-079.9931744	5583.468613	59	8411048	198927.4161	85	2167	Knoxville	44	191.7597773	0.29962465	4	81	6	12000.76183	8411048.342	15	Thomas Scharff	8669d2f0-b886-4519-99d0-bb1015b592b0	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:19		8353046.224	12021.86052
11358	6	286	42	003	130400	3	4.20031E+11	Block Group 3	G5030	S	115917	0	40.4496890	-079.8859784	6090.014007	75	11104194	136797.9793	45	2127	Homewood South	42	247.7748124	0.38714814	2	24	11	16565.7535	11104193.78	15	Adriana Bowman	fa665cfe-97d0-4827-a202-3bca7d917a22	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:15		10793073.49	16346.119
11359	7	348	42	003	050100	3	4.20031E+11	Block Group 3	G5030	S	308316	0	40.4459724	-079.9776953	7994.231364	84	8503223	136797.9793	53	2135	Middle Hill	51	195.2899861	0.3051406	3	25	15	14505.09158	8503222.962	15	Ose Akinlotan	ab7c6002-5eb8-40fb-871f-51c8acf71402	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:38		8506822.427	14507.76427
11360	8	313	42	003	562800	2	4.20036E+11	Block Group 2	G5030	S	653726	0	40.4269246	-080.0658036	15834.27699	79	7024962	198927.4161	71	2153	Oakwood	59	161.5249773	0.25238278	5	113	4	15925.73611	7024961.878	15	Nancy Hirsch	253b724f-3c9d-4439-bf93-d912897f468c	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:57		7036027.749	15843.10272
11361	9	1	42	003	040400	1	4.2003E+11	Block Group 1	G5030	S	75472	0	40.4458408	-079.9483932	3813.620989	2	13904629	136797.9793	41	2123	North Oakland	56	318.0812834	0.49700201	3	25	14	20941.38603	13904629.06	15	Christian Umbach	773a7ef1-47aa-4f7d-9947-486b11bf5c0c	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:50		13855524.58	20908.56389
11362	10	77	42	003	191100	2	4.20032E+11	Block Group 2	G5030	S	884630	0	40.4386014	-080.0260996	13787.42504	36	17364276	198927.4161	61	2143	Duquesne Heights	25	396.5155792	0.61955559	5	57	6	19320.40705	17364275.06	15	Nancy Hirsch	0edad5c4-6965-4f7d-9055-a976593c7c25	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:59:27		17272218.17	18827.63212
11363	11	96	42	003	562300	2	4.20036E+11	Block Group 2	G5030	S	1197940	275741	40.4050484	-079.9308344	18931.49395	91	12713036	136797.9793	90	2172	Glen Hazel	36	292.7763678	0.45746307	3	6	9	18931.70238	12713035.86	15	Austin Herzog	ed73b2d5-7175-417f-9750-1dccb6473843	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:59:58		12753337.71	18602.71832
11364	12	321	42	003	111500	4	4.20031E+11	Block Group 4	G5030	S	273819	0	40.4612717	-079.9187769	7027.658693	80	16201454	136797.9793	17	2099	East Liberty	29	372.0825429	0.58137897	2	25	12	22746.87684	16201453.71	15	Vacant, contact Ose Akinlotan (Planning Manager)	9ccdd4df-8786-48a4-8af3-8f62413abdf9	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:59:38		16207926.31	22622.19509
11365	13	13	42	003	563100	2	4.20036E+11	Block Group 2	G5030	S	880129	0	40.4320100	-080.0530374	14820.14919	12	19295586	198927.4161	66	2148	Westwood	89	441.8837997	0.69044344	5	6	4	20939.3851	19295586.86	15	Nancy Hirsch	fe33ba7b-19fb-4d21-8600-5b4c71dbe539	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:03:12		19248456.64	20974.26262
11366	14	104	42	003	101400	4	4.20031E+11	Block Group 4	G5030	S	149377	0	40.4799173	-079.9300799	6038.178371	44	10650824	136797.9793	6	2088	Morningside	52	239.7490128	0.37460783	2	6	12	27033.45416	10650824.43	15	Vacant, contact Ose Akinlotan (Planning Manager)	a9ac885b-095f-4467-a3e3-0938fc05904b	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:40		10443469.39	27084.79288
11367	15	246	42	003	310200	4	4.20033E+11	Block Group 4	G5030	S	1047140	0	40.3745282	-079.9191876	15834.11528	73	27425090	87456.39013	95	2177	Lincoln Place	46	628.1808053	0.98153251	4	113	8	27507.90025	27425088.8	15	Austin Herzog	8edc0195-2966-4556-a5fd-706c320c0280	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:28		27363669.55	27517.08658
11368	16	0	 	 	 	 	 	 	 	 	0	0	 	 	0	1292		80995.80627	0	0	Perry North	61	774.3443082	1.20991298	0	0	2	0	0	15	Nazia Tarannum	529dca14-f7c2-4e38-8e1e-dee1b31426c2	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:57:28		33730438.71	30985.38744
11369	17	11	42	003	260900	1	4.20033E+11	Block Group 1	G5030	S	812036	0	40.4776383	-080.0025945	13757.33203	10	8739570	80995.80627	10	2092	Northview Heights	58	200.8301663	0.31379713	1	113	1	13813.63754	8739570.228	15	Nazia Tarannum	afe5a435-c059-49b4-9736-5a284501ab5d	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:53		8748159.834	13861.14223
11370	18	292	42	003	130200	2	4.20031E+11	Block Group 2	G5030	S	186305	0	40.4594767	-079.8955903	5810.236224	76	12103512	136797.9793	33	2115	Homewood North	41	276.8346875	0.4325542	2	57	11	16962.01164	12103511.79	15	Adriana Bowman	ae461c62-e950-43e0-b2a1-7cef98be5aee	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:13		12058814.62	16959.30557
11371	19	202	42	003	561600	1	4.20036E+11	Block Group 1	G5030	S	294192	0	40.4168800	-079.9615214	10586.53075	65	3667921.5	198927.4161	83	2165	Arlington Heights	5	81.42957212	0.12723371	4	113	7	10585.53817	3667921.41	15	Thomas Scharff	12942113-8e97-4056-a9aa-2153476c947d	SDE	2020-08-14T12:57:28	SDE	2020-08-14T12:58:35		3547057.21	10500.14832
11372	20	72	42	003	060300	1	4.20031E+11	Block Group 1	G5030	S	391220	0	40.4621267	-079.9609234	10355.07428	32	11984375	136797.9793	20	2102	Lower Lawrenceville	48	275.1642487	0.42994414	2	19	13	15396.96497	11984374.88	15	Alex Peppers	767995c6-6930-40f5-9013-709a90b5238d	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:30		11986161.58	15430.92057
11373	21	114	42	003	120400	1	4.20031E+11	Block Group 1	G5030	S	176103	0	40.4633748	-079.9087841	5462.8531	45	12407882	136797.9793	23	2105	Larimer	45	284.9177058	0.44518392	2	21	12	15726.18582	12407881.3	15	Vacant, contact Ose Akinlotan (Planning Manager)	6d679b4d-248d-4c31-b0db-7bc6178a2902	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:23		12411015.31	15722.29152
11374	22	35	42	003	980000	1	4.2004E+11	Block Group 1	G5030	S	637235	237268	40.4875790	-079.8907469	13581.87509	21	7809355.5	136797.9793	5	2087	Lincoln-Lemington-Belmar	47	1163.584745	1.81810116	2	24	11	13582.97215	7809355.834	15	Adriana Bowman	c63ba635-c98b-4972-b27a-7202f727a438	SDE	2020-08-14T12:57:28	SDE	2020-08-14T13:00:25		50685775.41	41773.23163
